duration,protocol_type,service,flag,count,srv_count,serror_rate,dst_host_srv_count,dst_host_srv_serror_rate,labels
0,b'tcp',b'http',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,0.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,1.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,0.0,1,1.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,0.0,1,1.0,b'normal.'
0,b'tcp',b'smtp',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'finger',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'udp',b'domain_u',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'smtp',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'smtp',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'auth',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,1.0,1,1.0,b'normal.'
1,b'tcp',b'http',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,1.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,0.0,1,0.0,b'normal.'
1,b'tcp',b'smtp',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'udp',b'domain_u',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'udp',b'domain_u',b'SF',0,0,0.0,1,0.0,b'normal.'
1,b'udp',b'domain_u',b'SF',0,0,0.0,1,0.0,b'normal.'
1,b'tcp',b'telnet',b'SF',0,0,0.0,0,1.0,b'normal.'
1,b'tcp',b'ftp',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'icmp',b'eco_i',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'udp',b'ntp_u',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'udp',b'ntp_u',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'udp',b'domain_u',b'SF',0,1,0.0,0,0.0,b'normal.'
0,b'icmp',b'ecr_i',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'icmp',b'ecr_i',b'SF',0,0,0.0,1,0.0,b'normal.'
1,b'tcp',b'telnet',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'S1',0,1,1.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'S1',0,0,1.0,1,1.0,b'normal.'
1,b'tcp',b'http',b'SF',0,1,0.0,1,0.0,b'normal.'
0,b'tcp',b'other',b'REJ',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'S1',0,0,1.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'S2',0,0,1.0,1,0.0,b'normal.'
1,b'tcp',b'smtp',b'SF',0,0,0.0,1,1.0,b'normal.'
0,b'tcp',b'smtp',b'SF',0,0,0.0,1,1.0,b'normal.'
0,b'udp',b'domain_u',b'SF',0,1,0.0,1,0.0,b'normal.'
1,b'tcp',b'auth',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,1.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,1.0,1,1.0,b'normal.'
0,b'tcp',b'telnet',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'telnet',b'S0',0,1,1.0,0,1.0,b'neptune.'
1,b'tcp',b'finger',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'udp',b'ntp_u',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'ftp',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'ftp',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'S0',0,0,1.0,1,1.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,1.0,1,0.0,b'normal.'
0,b'tcp',b'telnet',b'S1',0,0,1.0,0,1.0,b'normal.'
0,b'tcp',b'http',b'SF',0,0,0.0,0,1.0,b'normal.'
0,b'tcp',b'pop_3',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,1,0.0,0,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,1,0.0,1,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,0,1.0,1,1.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,0,0.0,1,1.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,0,0.0,0,1.0,b'normal.'
0,b'tcp',b'other',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,1,0.0,0,1.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,1,0.0,1,1.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,0.0,0,1.0,b'normal.'
1,b'tcp',b'http',b'SF',0,0,0.0,1,1.0,b'normal.'
0,b'icmp',b'eco_i',b'SF',0,0,0.0,1,0.0,b'normal.'
1,b'tcp',b'http',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'ftp_data',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'telnet',b'S1',0,0,1.0,0,1.0,b'normal.'
1,b'udp',b'ntp_u',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'smtp',b'SF',0,0,0.0,0,1.0,b'normal.'
1,b'tcp',b'smtp',b'SF',0,0,0.0,0,1.0,b'normal.'
0,b'tcp',b'smtp',b'RSTO',0,0,0.0,1,0.0,b'normal.'
1,b'tcp',b'ssh',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'udp',b'domain_u',b'SF',1,1,0.0,1,0.0,b'normal.'
0,b'tcp',b'domain',b'SF',1,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,1.0,1,1.0,b'normal.'
0,b'tcp',b'http',b'S3',0,1,1.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'S0',0,0,1.0,1,0.0,b'normal.'
0,b'tcp',b'private',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'telnet',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'telnet',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'finger',b'SF',0,0,0.0,0,1.0,b'normal.'
0,b'tcp',b'finger',b'S1',0,0,1.0,0,1.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,1,1.0,1,1.0,b'normal.'
1,b'tcp',b'telnet',b'SF',0,0,0.0,0,1.0,b'normal.'
0,b'tcp',b'http',b'S1',0,1,1.0,0,1.0,b'normal.'
0,b'tcp',b'http',b'SF',0,1,1.0,0,1.0,b'normal.'
1,b'udp',b'domain_u',b'SF',0,1,0.0,1,0.0,b'normal.'
1,b'udp',b'domain_u',b'SF',0,1,0.0,0,0.0,b'normal.'
1,b'tcp',b'pop_3',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'REJ',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'REJ',0,0,0.0,1,0.0,b'normal.'
1,b'tcp',b'ftp_data',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'REJ',0,1,0.0,1,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'OTH',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'other',b'SF',0,0,1.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'REJ',0,0,0.0,0,1.0,b'normal.'
0,b'udp',b'domain_u',b'SF',1,1,0.0,0,0.0,b'normal.'
0,b'tcp',b'domain',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'time',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'REJ',0,1,0.0,0,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,1,0.0,0,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,1,0.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'REJ',0,0,0.0,1,1.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,0,0.0,1,1.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,1,0.0,1,1.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,0,1.0,0,0.0,b'normal.'
1,b'tcp',b'telnet',b'SF',0,0,1.0,0,1.0,b'normal.'
0,b'tcp',b'auth',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'ftp_data',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'shell',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'IRC',b'RSTR',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,0,0.0,0,1.0,b'normal.'
1,b'tcp',b'auth',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'ftp_data',b'SF',0,1,0.0,0,1.0,b'normal.'
0,b'udp',b'other',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'udp',b'private',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'smtp',b'RSTO',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'private',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'private',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'private',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'private',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'smtp',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'smtp',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'nnsp',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'http_443',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'http_443',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'exec',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'exec',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'login',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'login',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'shell',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'printer',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'printer',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'efs',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'time',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'courier',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'time',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'uucp',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'klogin',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'klogin',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'kshell',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'whois',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'name',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'whois',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'echo',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'echo',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'discard',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'discard',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'systat',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'systat',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'daytime',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'domain',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'domain',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ftp',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ftp',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ftp_data',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ftp_data',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'telnet',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ssh',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ssh',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'smtp',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'smtp',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'mtp',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'mtp',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'name',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'gopher',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'gopher',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'remote_job',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'rje',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'rje',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'finger',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'http',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'http',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ctf',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'link',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'supdup',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'iso_tsap',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'hostnames',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'hostnames',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'csnet_ns',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'csnet_ns',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'remote_job',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'pop_3',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'pop_3',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'pop_2',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'pop_2',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'sunrpc',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'sunrpc',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'auth',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'uucp_path',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'uucp_path',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'nntp',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'nntp',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'netbios_ns',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'netbios_ssn',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'netbios_ssn',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'netbios_dgm',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'netbios_dgm',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'imap4',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'finger',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'sql_net',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'vmnet',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'bgp',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'bgp',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'link',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'Z39_50',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'supdup',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'pop_2',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'sunrpc',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'nntp',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'other',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'other',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ldap',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ldap',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'nnsp',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'nnsp',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'login',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'shell',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'shell',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'printer',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'efs',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'efs',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'netbios_ns',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'courier',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'uucp',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'kshell',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'kshell',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'imap4',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'sql_net',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'daytime',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'netstat',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'telnet',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'mtp',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'supdup',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'iso_tsap',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'vmnet',b'S0',1,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'auth',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'Z39_50',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'http_443',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'http_443',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'exec',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'printer',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'klogin',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'netstat',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'exec',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'login',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'uucp',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ldap',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ctf',b'S0',1,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'csnet_ns',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'ldap',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'klogin',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'kshell',b'S0',0,1,1.0,0,1.0,b'neptune.'
0,b'tcp',b'discard',b'S0',0,0,1.0,0,1.0,b'neptune.'
0,b'tcp',b'telnet',b'RSTO',0,0,0.0,0,1.0,b'normal.'
0,b'tcp',b'smtp',b'SF',1,0,1.0,1,0.0,b'normal.'
0,b'tcp',b'http',b'RSTO',0,0,0.0,1,0.0,b'normal.'
1,b'tcp',b'IRC',b'RSTO',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'IRC',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'IRC',b'RSTO',0,0,0.0,0,1.0,b'normal.'
0,b'tcp',b'IRC',b'RSTO',0,0,0.0,0,1.0,b'normal.'
0,b'icmp',b'urh_i',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'icmp',b'urh_i',b'SF',0,0,0.0,1,0.0,b'normal.'
0,b'tcp',b'telnet',b'S0',0,0,1.0,0,1.0,b'normal.'
0,b'tcp',b'ftp',b'RSTO',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'finger',b'RSTO',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'IRC',b'RSTO',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'IRC',b'S1',0,0,1.0,0,1.0,b'normal.'
1,b'tcp',b'time',b'SF',0,0,0.0,0,0.0,b'normal.'
0,b'udp',b'other',b'SF',0,1,0.0,0,0.0,b'normal.'
0,b'tcp',b'X11',b'REJ',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'http',b'S2',0,0,1.0,1,1.0,b'normal.'
1,b'tcp',b'telnet',b'RSTR',0,0,0.0,0,1.0,b'normal.'
1,b'tcp',b'finger',b'SF',0,0,0.0,0,1.0,b'normal.'
0,b'icmp',b'urp_i',b'SF',0,0,0.0,0,0.0,b'normal.'
1,b'tcp',b'IRC',b'RSTR',0,0,0.0,0,0.0,b'normal.'
0,b'tcp',b'smtp',b'S0',0,0,1.0,1,1.0,b'normal.'
